supplement_record_id,source_dataset,manuscript_block,source_original_relative_path,source_submitted_file,source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb,layout_id,layout_variant,layout_source,subset_rule,perturbation_rule,policy_type,buffer_rule,buffer_eta,replan_count,replan_time_total,realized_failure_rate,realized_cost_inflation,mc_R_tol,n,file,R
R00031,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,257834.0,OK,20.0,2,hybrid,13.355119699961506,11570.60124708989,10898.73937087344,13.560022849226485,20.82063525581648,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00032,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,265753.0,OK,20.0,2,hybrid,11.110115999996196,11494.300566403275,10937.247037976853,13.625782205821816,20.51172524601399,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00033,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,273672.0,OK,20.0,2,hybrid,11.746956799994225,11561.577945128607,10946.77259183872,13.661299462050572,20.022799865736918,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00034,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,281591.0,OK,20.0,2,hybrid,12.5785325000179,11645.65623865332,10872.059284097948,13.516395145301871,20.99322643204413,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00035,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,289510.0,OK,20.0,2,hybrid,11.67046819999814,11524.577956626094,10872.059349582094,13.516394323552548,20.993245911933823,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00036,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,297429.0,OK,20.0,2,hybrid,11.31216279999353,11441.228702392398,10937.590263555374,13.625946971829531,20.51800099094929,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00037,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,305348.0,OK,20.0,2,hybrid,11.628662000002803,11592.133898390315,10946.77262165656,13.661298571963876,20.02281979096152,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00038,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,313267.0,OK,20.0,2,hybrid,12.758918299979996,11603.81662697015,10915.917884032404,13.56942334462858,21.11001073031344,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00039,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,321186.0,OK,20.0,2,hybrid,13.312680699978957,11494.728715916624,10946.772533252426,13.661299052293074,20.022806972360577,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00040,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_adjacent,329105.0,OK,20.0,2,hybrid,15.06239249999635,11464.71794751515,10937.247037976853,13.625782205821816,20.51172524601399,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00041,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,337024.0,OK,20.0,2,hybrid,25.99014010000974,10809.437600989348,10803.803429112268,13.404906434666998,21.43210294605777,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00042,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,344943.0,OK,20.0,2,hybrid,26.257039699994493,10825.23291240678,10455.049311464803,12.905563543010926,22.167904405903208,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00043,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,352862.0,OK,20.0,2,hybrid,25.26883459999226,10869.775370020878,10614.644533448149,13.166996773726448,21.125627232951786,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00044,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,360781.0,OK,20.0,2,hybrid,26.958890500012785,10797.551243032123,10749.379557128525,13.385225164677642,20.29887667486551,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00045,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,368700.0,OK,20.0,2,hybrid,26.416653299995232,10858.7521080962,10840.93628469062,13.497824825896483,20.50193329337872,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00046,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,376619.0,OK,20.0,2,hybrid,27.424714699969627,10869.573465466112,10703.69762628736,13.275035565533058,21.354884346787703,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00047,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,384538.0,OK,20.0,2,hybrid,23.877439600008078,10825.233209784552,10590.73589976077,13.067389742546345,22.57695979574315,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00048,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,392457.0,OK,20.0,2,hybrid,20.191631500027142,10864.80251918976,10603.056451692462,13.12655504680684,21.66114761678097,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00049,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,400376.0,OK,20.0,2,hybrid,18.87959949998185,10825.23291240678,10468.891382473932,12.893721016787593,22.817160568092568,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00050,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,0.0,syn_n20_L2_0,abl_no_cache,408295.0,OK,20.0,2,hybrid,19.53710030001821,10869.775374572686,10393.623581549382,12.794127859281042,22.800791059674307,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00051,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,1.0,syn_n20_L2_1,palns_only,416214.0,OK,20.0,2,palns,3.992622599995229,11102.387595478274,11102.387595478274,13.840568637208987,20.62746050204382,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00052,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,1.0,syn_n20_L2_1,palns_only,424133.0,OK,20.0,2,palns,4.290493100008462,11181.502313690413,11181.502313690413,13.90772033479423,21.448916074135333,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R00053,ExpA_scalability,Scalability and interleaving evidence; Fig. scalability panels,DROBaseline/artifacts/summary_tables/ExpA_Scalability_raw.csv,raw_records/ExpA_Scalability_raw.csv,GENERATED,1.0,syn_n20_L2_1,palns_only,432052.0,OK,20.0,2,palns,3.87477160000708,11181.502572307749,11181.502572307749,13.907735612199474,21.44859609023264,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
