source_file,instance_index,instance_id,config,run_seed,status,n_tasks,L,mode,time_total,palns_obj,final_obj,ship_time,drone_time,intensify_ran,subexp,total_time_budget,palns_share,palns_time_limit,intensify_time_limit,dro_enabled,eps_sortie,hat_out,hat_in,dro_clipped_out,dro_clipped_in,mc_samples,mc_seed,mc_dist,mc_corr,mc_R_tol,mc_time,mc_infeasible_rate,mc_obj_mean,mc_obj_p90,mc_obj_p95,mc_makespan_mean,mc_makespan_p90,mc_makespan_p95,mc_drone_time_mean,mc_drone_time_p90,mc_drone_time_p95,cert_time,cert_lb,cert_ub,cert_gap,cert_cuts,heur_gap_to_lb
GENERATED,1,syn_n40_L3_1,mc_nominal,15277,OK,40,3,hybrid,48.97999849996995,62180.24195231096,61840.29735011809,21.643671590366054,55.6579014366573,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,27622,beta,0.3,0.0001,0.715180299943313,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_nominal,11810,OK,40,3,hybrid,47.4486656000372,64202.58321292413,63746.23048912181,23.280375090524338,53.71020630051209,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,24155,beta,0.3,0.0001,0.6987654999829829,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_nominal,13810,OK,40,3,hybrid,48.35940700001083,64377.964334968034,63997.25752291441,23.590119184336967,53.09789979898126,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,26155,beta,0.3,0.0001,0.6887862000148743,0.9995,84647.51240560837,84647.51240560837,84647.51240560837,30.526334904530437,30.526334904530437,30.526334904530437,72.78387348423695,72.78387348423695,72.78387348423695,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_nominal,15810,OK,40,3,hybrid,48.18478580005467,60954.281115761674,60722.04076097702,21.299390148485966,54.47350557455749,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,28155,beta,0.3,0.0001,0.8112380000529811,0.6795,82754.02231944414,83995.07314936389,84385.43102538868,28.8631549871374,29.31916363842864,29.4653092524802,74.85924186957898,75.9818760304742,76.3046604099945,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_nominal,10782,OK,40,3,hybrid,43.99566840007901,62616.45574478035,62266.08411314867,22.81647689386746,52.17349643016439,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,23127,beta,0.3,0.0001,0.7214846999850124,0.137,84434.88151648566,85919.3637994728,86406.82378384759,30.44542000803719,30.96256180364314,31.113638105928537,72.61703889516099,74.05969742993722,74.50651488637303,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_nominal,12782,OK,40,3,hybrid,48.18167189997621,62369.62278042257,62240.83438768867,22.486684675775344,53.36326764193464,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,25127,beta,0.3,0.0001,0.6984762999927625,0.296,84488.03552097362,85933.45294381733,86327.58307330862,30.133078842819977,30.66183275808014,30.79542407868672,73.91511441817701,75.24310732783513,75.64731604948477,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_nominal,14782,OK,40,3,hybrid,45.85156179999467,62000.07960880091,61854.88328632001,22.336993815591025,53.07109733292275,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,27127,beta,0.3,0.0001,0.8092114999890327,0.354,83755.0674266212,85231.81459996651,85636.61573420314,29.792284866246444,30.314701648447315,30.454964981689542,73.57374034222721,74.97397335964733,75.38909688233304,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,mc_nominal,11634,OK,40,3,hybrid,49.46562769997399,51770.123795509055,51383.16121795404,17.846688026111284,46.76398127458856,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,23979,beta,0.3,0.0001,0.6767938999691978,0.5225,70421.24494047166,71437.57567344882,71720.53907714612,24.42684833602691,24.80500827780271,24.902368042067554,64.21245059827982,65.14818186922083,65.42151725309199,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,mc_nominal,13634,OK,40,3,hybrid,49.378237800090574,51350.853179407386,51267.685905105,17.776475441979194,46.772617008311954,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,25979,beta,0.3,0.0001,0.6940213999478146,0.4745,70265.12045252611,71374.48864703171,71664.197069771,24.21941180759235,24.61674464973897,24.726046811774886,64.64915639915357,65.6710571322429,65.94025161786104,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,mc_nominal,15634,OK,40,3,hybrid,47.48020059999544,51092.91571352149,50928.620681985776,17.426444366168855,47.34147835444161,True,mc,60.0,0.6,36.0,24.0,0,nan,1.0,1.0,0,0,2000,27979,beta,0.3,0.0001,0.6997417999664322,0.648,69921.94871470005,70972.91253722954,71290.92162474751,23.784884682603266,24.146726955899883,24.2618399347298,65.52809945394331,66.56735955980076,66.85853130405947,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_dro,10006,OK,40,3,hybrid,46.67255719995592,82739.07850483182,80577.67513780593,33.54370092864274,52.34085235358504,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,22351,beta,0.3,0.0001,0.7201100999955088,0.0,80577.6812463351,80577.6812463351,80577.6812463351,33.54370334380712,33.54370334380712,33.54370334380712,52.34085680414001,52.34085680414002,52.34085680414001,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_dro,12006,OK,40,3,hybrid,48.65393440006301,85030.57650624901,83887.41188160141,34.30211962532793,56.83068559676429,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,24351,beta,0.3,0.0001,0.692217200063169,0.0,83887.41201314292,83887.41201314292,83887.41201314292,34.30211973227664,34.30211973227664,34.30211973227664,56.83068548505033,56.83068548505033,56.83068548505033,nan,nan,nan,nan,nan,nan
GENERATED,0,syn_n40_L3_0,mc_dro,14006,OK,40,3,hybrid,56.28653230005875,84789.44387910898,83762.81166464454,35.191670749312735,53.193269757362,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,26351,beta,0.3,0.0001,0.7791959000751376,0.0,83762.81934399865,83762.81934399865,83762.81934399865,35.191673680906014,35.191673680906014,35.191673680906014,53.19327574768539,53.19327574768539,53.19327574768539,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,mc_dro,11579,OK,40,3,hybrid,48.70263180008624,81135.87684962066,80729.53647327983,29.659527448516673,67.35186624622555,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,23924,beta,0.3,0.0001,1.0136232000077143,0.0,80729.55674803758,80729.55674803758,80729.55674803758,29.65953452732762,29.65953452732762,29.65953452732762,67.35188455906804,67.35188455906804,67.35188455906804,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,mc_dro,13579,OK,40,3,hybrid,50.207218400086276,82450.71991861057,81227.70988853087,30.103003962294824,66.78356256139926,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,25924,beta,0.3,0.0001,0.7805279999738559,0.0,81227.71848036787,81227.71848036787,81227.71848036787,30.103007469759643,30.103007469759643,30.103007469759643,66.78356840394771,66.78356840394771,66.78356840394771,nan,nan,nan,nan,nan,nan
GENERATED,1,syn_n40_L3_1,mc_dro,15579,OK,40,3,hybrid,53.61033219995443,81318.58812879627,80058.37162868668,30.328571991598167,63.332887206599494,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,27924,beta,0.3,0.0001,0.8278867999324575,0.0,80058.37341936541,80058.37341936541,80058.37341936541,30.32857271819701,30.32857271819701,30.32857271819701,63.332888440956665,63.332888440956665,63.332888440956665,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_dro,11384,OK,40,3,hybrid,51.66521130001638,85311.10349656893,84054.37988456669,32.882753094029404,62.563776943814894,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,23729,beta,0.3,0.0001,0.830570499994792,0.0,84054.4080559352,84054.4080559352,84054.4080559352,32.88276359977399,32.88276359977399,32.88276359977399,62.563799858487585,62.563799858487585,62.563799858487585,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_dro,13384,OK,40,3,hybrid,52.58284249994904,85923.5198560392,84529.08866716077,32.514890687990714,65.00838777239238,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,25729,beta,0.3,0.0001,0.8593784000258893,0.0,84529.12948450462,84529.12948450462,84529.12948450462,32.51490625928404,32.51490625928404,32.51490625928404,65.00841965271502,65.00841965271502,65.00841965271502,nan,nan,nan,nan,nan,nan
GENERATED,2,syn_n40_L3_2,mc_dro,15384,OK,40,3,hybrid,55.51318020001054,85933.46857903512,85201.05563144552,32.275098608889984,67.40752888073901,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,27729,beta,0.3,0.0001,0.9067140000406653,0.0,85201.06378817197,85201.06378817197,85201.06378817197,32.27510175855691,32.27510175855691,32.27510175855691,67.40753510805607,67.40753510805607,67.40753510805607,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_dro,10024,OK,40,3,hybrid,51.69425899989437,80159.51147923374,78793.75571374354,31.194317238160142,57.25203646415843,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,22369,beta,0.3,0.0001,1.0522183999419212,0.0,78793.75716878261,78793.75716878261,78793.75716878261,31.194318206035504,31.194318206035504,31.194318206035504,57.25203604116057,57.25203604116057,57.25203604116057,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_dro,12024,OK,40,3,hybrid,54.71995349996723,79129.62430440116,78390.69380737269,30.76546301440434,57.9764592953007,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,24369,beta,0.3,0.0001,0.7353519001044333,0.0,78390.6946350204,78390.6946350204,78390.6946350204,30.76546337305247,30.76546337305247,30.76546337305247,57.9764597796249,57.9764597796249,57.9764597796249,nan,nan,nan,nan,nan,nan
GENERATED,3,syn_n40_L3_3,mc_dro,14024,OK,40,3,hybrid,48.86396349989809,79489.69579771637,78177.45550073622,31.04878588392354,56.43226555125824,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,26369,beta,0.3,0.0001,0.9106474999571219,0.0,78177.46394567209,78177.46394567209,78177.46394567209,31.04878907585754,31.04878907585754,31.04878907585754,56.43227225936505,56.43227225936505,56.43227225936505,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,mc_dro,11613,OK,40,3,hybrid,56.793787400005385,71147.76182636243,70605.64390686809,25.367625201190013,61.0681801441002,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,23958,beta,0.3,0.0001,0.9980159000260755,0.0,70605.66735692158,70605.66735692158,70605.66735692158,25.367633982364165,25.367633982364165,25.367633982364165,61.06819908200555,61.06819908200555,61.06819908200555,nan,nan,nan,nan,nan,nan
GENERATED,4,syn_n40_L3_4,mc_dro,13613,OK,40,3,hybrid,55.73280070000328,68272.0432277815,67947.9214491085,23.79966289361287,61.085543399925825,True,mc,60.0,0.6,36.0,24.0,1,nan,1.5,1.5,1,1,2000,25958,beta,0.3,0.0001,0.7445105999941006,0.0,67947.928690652,67947.928690652,67947.928690652,23.79966554878334,23.79966554878334,23.79966554878334,61.08554946160069,61.08554946160069,61.08554946160069,nan,nan,nan,nan,nan,nan
